Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker,Sector,Daily_Return,Log_Return,Intraday_Volatility,Volatility_30d,Volatility_90d,Avg_Return_30d,Drawdown_30d,Price_Momentum_30d,Days_from_Event,Event_Name,Event_Date,Event_Type,Event_Period
2023-07-26 04:00:00,113.51048588125155,113.61359259376655,110.27670524691494,111.20465850830078,3455800,0.0,0.0,DLR,Real Estate,-0.01641526097848478,-0.01655148419202751,0.030006722664433452,0.22319013639044932,0.37261267360900885,1.1224836384868815,-0.03638734594631045,0.139392188858815,8,European Heat Wave,2023-07-18,Heat Wave,Post-Event
2023-07-27 04:00:00,112.3481886409461,112.54502675738712,107.73653438111758,107.9333724975586,3397900,0.0,0.0,DLR,Real Estate,-0.029416807304866732,-0.029858158568191528,0.044550561749363546,0.24297575924454565,0.3739473950714456,0.904883454771129,-0.06473375370713899,0.10977245536978164,9,European Heat Wave,2023-07-18,Heat Wave,Post-Event
2023-07-10 04:00:00,45.00807161527156,45.823701316321426,44.85977498456517,45.59198760986328,5793500,0.0,0.0,DVN,Energy,0.006960030607317869,0.006935921396875359,0.02114245029202722,0.281807129940051,0.34912327503300855,0.07777481204760682,-0.012249130755770367,0.004691803101467329,-8,European Heat Wave,2023-07-18,Heat Wave,Pre-Event
2023-07-11 04:00:00,46.11103213286312,47.07496209535736,45.90712291965487,46.861785888671875,8664900,0.0,0.0,DVN,Energy,0.02785134725150451,0.027470552735881025,0.024920927650450408,0.2705742505711939,0.3513595709818602,0.616133858275662,0.0,0.07150407609963705,-7,European Heat Wave,2023-07-18,Heat Wave,Pre-Event
2023-07-12 04:00:00,47.45497050203426,47.7979058172049,47.05642262129374,47.3530158996582,7640900,0.0,0.0,DVN,Energy,0.0104825286034409,0.01042796785896588,0.015658626632828895,0.27154039228406,0.3505440731508038,0.6690917249741309,0.0,0.07823127567662702,-6,European Heat Wave,2023-07-18,Heat Wave,Pre-Event
2023-07-13 04:00:00,47.31594276056069,48.02035447678416,46.89885734117454,47.37155532836914,7168500,0.0,0.0,DVN,Energy,0.0003915152680078471,0.00039143864590380215,0.023674484146354344,0.2604971535433368,0.3492553727777346,0.8663479111341215,0.0,0.10414974335847593,-5,European Heat Wave,2023-07-18,Heat Wave,Pre-Event
2023-07-14 04:00:00,46.98227155180215,46.98227155180215,45.16563687587502,45.323204040527344,9704500,0.0,0.0,DVN,Energy,-0.04324011051870846,-0.04420281819325209,0.040081779617846924,0.2872296419659224,0.3564692288846139,0.6569639609282976,-0.04324011051870851,0.07611353765580331,-4,European Heat Wave,2023-07-18,Heat Wave,Pre-Event
2023-07-17 04:00:00,45.13783398239967,45.50857381808355,44.8134326485466,45.341739654541016,6486700,0.0,0.0,DVN,Energy,0.0004089652178407288,0.0004088816143591944,0.015331153476536862,0.28495939702506384,0.35398465933604073,0.5364950903834547,-0.04284882900208557,0.06090475776497528,-1,European Heat Wave,2023-07-18,Heat Wave,Pre-Event
2023-07-18 04:00:00,45.41588803715882,47.2139851886457,45.3510084799594,46.81543731689453,9089500,0.0,0.0,DVN,Energy,0.03250200970632422,0.031984992297959564,0.039794068270168695,0.27999168802163077,0.35797304349566855,0.49527520061965097,-0.011739492351891813,0.05588648957779374,0,European Heat Wave,2023-07-18,Heat Wave,Event Day
2023-07-19 04:00:00,46.77836662101884,47.40862821817666,46.67641201917408,46.91739273071289,8251200,0.0,0.0,DVN,Energy,0.0021778161149754727,0.0021754481108885596,0.015606498067895798,0.27954681172661766,0.3549178627305845,0.5412633230888438,-0.009587242692541872,0.061686354024387935,1,European Heat Wave,2023-07-18,Heat Wave,Post-Event
